N = 10;
T = 14;
K = 2;
C = 146.0;
furnance = 2;
color = 6;
machines = [4 5];
products = [55 117 257 175 77 120 466 159 176 139];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
[[14.0 9.0],[11.0 8.0],[11.0 8.0],[9.0 7.0],[6.0 6.0],[9.0 8.0],[8.0 12.0],[0.0 0.0],[12.0 10.0],[9.0 8.0]]
[[13.0 10.0],[7.0 8.0],[12.0 9.0],[11.0 11.0],[4.0 4.0],[7.0 9.0],[14.0 13.0],[8.0 12.0],[0.0 0.0],[8.0 8.0]]
[[9.0 13.0],[9.0 11.0],[8.0 11.0],[7.0 8.0],[4.0 5.0],[9.0 7.0],[14.0 11.0],[9.0 12.0],[11.0 14.0],[0.0 0.0]]];
Cijk = [[[0.0 0.0],[11.0 10.0],[7.0 9.0],[9.0 7.0],[6.0 5.0],[5.0 9.0],[13.0 14.0],[8.0 12.0],[9.0 9.0],[7.0 9.0]]
[[11.0 11.0],[0.0 0.0],[11.0 10.0],[7.0 8.0],[3.0 6.0],[6.0 6.0],[10.0 12.0],[11.0 10.0],[8.0 9.0],[9.0 9.0]]
[[10.0 14.0],[12.0 12.0],[0.0 0.0],[8.0 11.0],[4.0 5.0],[8.0 6.0],[9.0 9.0],[9.0 12.0],[8.0 13.0],[9.0 10.0]]
[[8.0 13.0],[12.0 9.0],[9.0 7.0],[0.0 0.0],[6.0 3.0],[8.0 7.0],[13.0 8.0],[8.0 13.0],[8.0 14.0],[8.0 10.0]]
[[13.0 13.0],[12.0 12.0],[9.0 10.0],[7.0 12.0],[0.0 0.0],[8.0 9.0],[14.0 12.0],[11.0 11.0],[10.0 8.0],[6.0 5.0]]
[[15.0 12.0],[10.0 10.0],[7.0 10.0],[9.0 7.0],[4.0 4.0],[0.0 0.0],[8.0 11.0],[11.0 14.0],[12.0 12.0],[7.0 7.0]]
[[11.0 12.0],[7.0 11.0],[10.0 10.0],[10.0 10.0],[5.0 5.0],[9.0 8.0],[0.0 0.0],[8.0 11.0],[11.0 10.0],[9.0 8.0]]
[[14.0 9.0],[11.0 8.0],[11.0 8.0],[9.0 7.0],[6.0 6.0],[9.0 8.0],[8.0 12.0],[0.0 0.0],[12.0 10.0],[9.0 8.0]]
[[13.0 10.0],[7.0 8.0],[12.0 9.0],[11.0 11.0],[4.0 4.0],[7.0 9.0],[14.0 13.0],[8.0 12.0],[0.0 0.0],[8.0 8.0]]
[[9.0 13.0],[9.0 11.0],[8.0 11.0],[7.0 8.0],[4.0 5.0],[9.0 7.0],[14.0 11.0],[9.0 12.0],[11.0 14.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
